Date,Distance (mi),Run Type,Treadmill?,Weight (lbs),Moving Time,Strava Pace,AVG HR,Resting HR
7/9/23,0.0,Rest,False,222.2,,,,69.0
7/10/23,1.7,Easy,False,221.0,0:27:32,0:16:33,129.0,69.0
7/11/23,1.7,Easy,False,222.2,0:27:40,0:16:24,127.0,67.0
7/12/23,1.7,Easy,False,220.2,0:28:11,0:16:11,129.0,66.0
7/13/23,0.0,Rest,False,221.0,,,,68.0
7/14/23,1.7,Easy,False,221.0,0:28:19,0:16:22,126.0,68.0
7/15/23,5.0,Long,False,219.0,1:25:05,0:16:59,134.0,64.0
7/16/23,0.0,Rest,False,218.6,,,,66.0
7/17/23,2.0,Easy,False,222.0,0:33:02,0:16:20,126.0,65.0
7/18/23,2.0,Easy,False,221.8,0:32:22,0:16:02,125.0,65.0
7/19/23,2.0,Easy,False,221.2,0:32:17,0:16:08,121.0,64.0
7/20/23,0.0,Rest,False,220.2,,,,67.0
7/21/23,2.0,Easy,False,221.8,0:33:13,0:16:18,125.0,69.0
7/22/23,5.0,Long,False,221.6,1:22:53,0:16:34,136.0,66.0
7/23/23,0.0,Rest,False,220.4,,,,63.0
7/24/23,2.0,Easy,False,222.6,0:31:32,0:15:46,129.0,67.0
7/25/23,3.0,Threshold,False,221.8,0:47:26,0:15:45,135.0,65.0
7/26/23,2.0,Easy,False,222.6,0:31:42,0:15:26,124.0,61.0
7/27/23,0.0,Rest,False,220.0,,,,67.0
7/28/23,2.0,Easy,True,220.2,0:32:40,0:16:13,128.0,63.0
7/29/23,5.0,Long,True,221.4,1:26:34,0:17:14,131.0,64.0
7/30/23,0.0,Rest,False,221.0,,,,65.0
7/31/23,2.0,Easy,False,220.0,0:30:48,0:15:25,130.0,66.0
8/1/23,1.0,Recover,False,219.6,0:14:57,0:14:51,128.0,65.0
8/2/23,3.0,Threshold,False,221.2,0:44:45,0:14:55,137.0,65.0
8/3/23,1.0,Recover,False,221.6,0:15:12,0:15:03,122.0,64.0
8/4/23,2.0,Easy,False,220.4,0:29:09,0:14:30,135.0,66.0
8/5/23,6.0,Long,False,221.6,1:35:40,0:15:43,140.0,65.0
8/6/23,0.0,Rest,False,218.2,,,,63.0
8/7/23,2.0,Easy,False,221.0,0:30:32,0:15:16,134.0,63.0
8/8/23,1.0,Recover,False,221.2,0:15:07,0:15:01,125.0,64.0
8/9/23,1.0,Recover,False,219.8,0:15:35,0:15:31,125.0,63.0
8/10/23,1.04,Recover,False,220.0,0:16:01,0:15:17,124.0,62.0
8/11/23,2.0,Easy,False,220.0,0:33:25,0:16:38,128.0,67.0
8/12/23,6.24,Long,False,220.0,1:47:56,0:17:18,124.0,67.0
8/13/23,0.0,Rest,False,219.6,,,,
8/14/23,2.02,Easy,False,219.6,0:31:21,0:15:33,127.0,65.0
8/15/23,3.29,Threshold,False,219.2,0:47:00,0:14:16,140.0,64.0
8/16/23,2.04,Easy,False,,0:31:22,0:15:22,127.0,67.0
